Token,Item Name,Variation Name,SKU,Description,Categories,Reporting Category,SEO Title,SEO Description,Permalink,GTIN,Square Online Item Visibility,Item Type,Weight (lb),Social Media Link Title,Social Media Link Description,Shipping Enabled,Self-serve Ordering Enabled,Delivery Enabled,Pickup Enabled,Price,Online Sale Price,Archived,Sellable,Contains Alcohol,Stockable,Skip Detail Screen in POS,Option Name 1,Option Value 1,Enabled Edina,Current Quantity Edina,New Quantity Edina,Stock Alert Enabled Edina,Stock Alert Count Edina,Price Edina,Enabled Excelsior,Current Quantity Excelsior,New Quantity Excelsior,Stock Alert Enabled Excelsior,Stock Alert Count Excelsior,Price Excelsior,Modifier Set - Avocado Toast,Modifier Set - Bagel,Modifier Set - Breakfast Sandwich,Modifier Set - Breakfast Sandwich (Everything Bagel),Modifier Set - Cold Foam,Modifier Set - Cortado,Modifier Set - Cortado Milk,Modifier Set - Drip coffee Milk,Modifier Set - Espresso shot,Modifier Set - Flavors,Modifier Set - Hot Or Iced,Modifier Set - Italian Soda,Modifier Set - Latte Milk,Modifier Set - Matcha,Modifier Set - Panini Side,Modifier Set - Sandwich,Modifier Set - Smoothie,Modifier Set - Smoothie Milk,Modifier Set - Smoothies add ons,Modifier Set - To-go or Here,Modifier Set - Warm,Tax - Liquor Tax (2.5%)
UJX6S25ZPASFC7IEA5QKKZYW,Charles Roux Blanc De Blanc,Regular,,,Wine,Wine,,,,,,Prepared food and beverage,,,,,,,Y,12,,N,,N,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
MXU6ADWWM3PK65I5SKYR4Y26,Chider,10oz (Here),,1/3 Chi 1/3 Cider 1/3 Oat milk,,,,,,,unavailable,Prepared food and beverage,,,,N,N,N,Y,6.75,,N,,N,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
Z7SVWDWZNZDEGNAZNTCA7ENE,Chider,10oz (To Go),,,,,,,,,unavailable,Prepared food and beverage,,,,,,,,6.75,,N,,,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
JADJBSOBFLRGIO4G342RBWXA,Chider,16oz (To Go),,,,,,,,,unavailable,Prepared food and beverage,,,,,,,,7.25,,N,,,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
7M7K3AZHBTLTIO4MQ57U7CFL,Chider,16oz (Here),,,,,,,,,unavailable,Prepared food and beverage,,,,,,,,7.25,,N,,,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
BRU5RSXRMIP24UMSW2D4DV2O,Chocolate Chip Cookie,Regular,,,Bakery,Bakery,,,,,visible,Prepared food and beverage,,,,N,N,N,Y,4,,N,,N,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N
YBX2QUCH5Z2NV5M7PWDDAT7U,Chocolate Croissant,Regular,,,Bakery,Bakery,,,,,visible,Prepared food and beverage,,,,N,N,N,Y,5.5,,N,,N,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N
JPXORT2GQJOJEAJIKZSTRKDT,Chocolate chip banana bread,Regular,,,Bakery,Bakery,,,,,visible,Prepared food and beverage,,,,N,N,N,Y,5,,N,,N,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N
Z5DB6R3VWLNH5ZJPKOXT3XQJ,Chrurros Latte (Brown Sugar in the portafilter & Cinnamon powder in cup),10oz,,,Signature Drinks,Signature Drinks,,,,,,Physical good,,,,,,,Y,6.75,,N,,N,,N,,,Y,,,,,,N,,,,,,N,N,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N
JXQNNRZ7ZLBCZOHJLAZTQZRD,Chrurros Latte (Brown Sugar in the portafilter & Cinnamon powder in cup),16oz,,,Signature Drinks,Signature Drinks,,,,,,Physical good,,,,,,,,7.25,,N,,,,N,,,Y,,,,,,N,,,,,,N,N,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N
GVD26MBCIVI3LMRE2F3TTNXW,Chrurros Latte (Brown Sugar in the portafilter & Cinnamon powder in cup),16oz Iced,,,Signature Drinks,Signature Drinks,,,,,,Physical good,,,,,,,,7.25,,N,,,,N,,,Y,,,,,,N,,,,,,N,N,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N
SKS3XJAP5GM27MOVWUCETNKQ,Cider,Regular,,,Beer,Beer,,,,,unavailable,Prepared food and beverage,,,,,,,Y,7,,N,,N,,N,,,N,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
NZIOUIBUTZLF4MUSBBTM7VA4,Cinnamon Toast Latte,10oz (Here),,"Honey, Vanilla, Caramel and dash of Cinnamon",Signature Drinks,Signature Drinks,,,,,visible,Prepared food and beverage,,,,N,N,N,Y,6.75,,N,,N,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
56SNWWMQNVHUHP5ZULGLKT7Q,Cinnamon Toast Latte,10oz (To go),,,Signature Drinks,Signature Drinks,,,,,visible,Prepared food and beverage,,,,,,,,6.75,,N,,,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
53YTNTT5HD3GRHXTKYH64X4X,Cinnamon Toast Latte,16oz (To go),,,Signature Drinks,Signature Drinks,,,,,visible,Prepared food and beverage,,,,,,,,7.25,,N,,,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
V5ELM27RZEP6EPYFGMOISSEB,Cinnamon Toast Latte,16oz Iced (Here),,,Signature Drinks,Signature Drinks,,,,,visible,Prepared food and beverage,,,,,,,,7.25,,N,,,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
7L465BAQYTBH5V6FNBVQQWPD,Cinnamon Toast Latte,16oz Iced (To go),,,Signature Drinks,Signature Drinks,,,,,visible,Prepared food and beverage,,,,,,,,7.25,,N,,,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
HQ33GIPTIDHCHONI7GZEGEDB,Classic Butter Croissant,Regular,,,Bakery,Bakery,,,,,visible,Prepared food and beverage,,,,N,N,N,Y,5.5,,N,,N,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N
TOVYFKDS3E3XEI5YYKAKJXNR,Coconut Rocher *(gf),Regular,,,Bakery,Bakery,,,,,visible,Prepared food and beverage,,,,N,N,N,Y,3.5,,N,,N,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N
ZZEZVXVG3KH5LQXUZTIO77KG,Coffee togo box,Regular,,,Catering And Event Space,Catering And Event Space,,,,,visible,Prepared food and beverage,,,,N,N,N,Y,38,,N,,N,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N
F6UZ3OF5XVMH7EE42FUQIRLE,Cold Brew,Regular,,,Drinks,Drinks,,,,,visible,Prepared food and beverage,,,,N,N,N,Y,5.75,,N,,N,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,Y,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,N
4IUMO4AEWYX2O5IEOXQH3FZJ,Cortado,Regular,,"With a 1 to 1 ratio this drink not only gives you the right amount of coffee, but with the right amount of creaminess.",Drinks,Drinks,,,,,visible,Prepared food and beverage,,,,N,N,N,Y,3.95,,N,,N,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N
NEG646GHHTTP4HMHBBOQL753,Crème Brûlée,10oz (Here),,,,,,,,,unavailable,Prepared food and beverage,,,,N,N,N,Y,6.5,,Y,,N,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N
IAJO224SV3JFAU4XWIPO76VT,Crème Brûlée,10oz (To Go),,,,,,,,,unavailable,Prepared food and beverage,,,,,,,,6.5,,Y,,,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N
KH4DHOSV4CQWC4WDWKFSA3RQ,Crème Brûlée,16oz (Here),,,,,,,,,unavailable,Prepared food and beverage,,,,,,,,7.45,,Y,,,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N
4BDQOPSJNILQNIWQKOTAIHOY,Crème Brûlée,16oz (To Go),,,,,,,,,unavailable,Prepared food and beverage,,,,,,,,7.45,,Y,,,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N
AZR55YMNGVSF5IQM5YWL5AKH,Cup,Latte,,,Retail,Retail,,,,,,Prepared food and beverage,,,,,,,Y,22,,N,,N,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N
USKUENPGTQNK3U4RDL5FHCTE,Cup,Cappuccino,,,Retail,Retail,,,,,,Prepared food and beverage,,,,,,,,20,,N,,,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N
5XRTDKZC6DABF3SIBNW4V3T5,Cup,Coffee Mug,,,Retail,Retail,,,,,,Prepared food and beverage,,,,,,,,18,,N,,,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N
AWQYBFMRRABPASSBFXZ45XNB,Drip coffee,“Dark” -10oz,,,Drinks,Drinks,,,,,visible,Prepared food and beverage,,,,N,N,N,Y,4.5,,N,,N,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N
AUQE24NZ3O667Y4UFSLDSWYG,Drip coffee,“Dark” - 16oz,,,Drinks,Drinks,,,,,visible,Prepared food and beverage,,,,,,,,5.25,,N,,,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N
35XVBUNM6MKED4KEAEN4NUWR,Drip coffee,“Medium” - 10oz,,,Drinks,Drinks,,,,,visible,Prepared food and beverage,,,,,,,,4.5,,N,,,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N
TRM4W55ZADCAYHREH24DQ3T4,Drip coffee,“Medium”- 16oz,,,Drinks,Drinks,,,,,visible,Prepared food and beverage,,,,,,,,5.25,,N,,,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N
H6MFHQQLCBVKCMH7N55WMLY7,Drip coffee,“Light” - 10oz,,,Drinks,Drinks,,,,,visible,Prepared food and beverage,,,,,,,,4.5,,N,,,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N
LF3AR46W5YGMEJDACTTWG7TT,Drip coffee,“Light” - 16oz,,,Drinks,Drinks,,,,,visible,Prepared food and beverage,,,,,,,,5.25,,N,,,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N
UFAIK7NHZRGU6DPXTLDXOA3Q,Drip coffee,Decaf - 10oz,,,Drinks,Drinks,,,,,visible,Prepared food and beverage,,,,,,,,4.5,,N,,,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N
MZ444TMKICNO76MYD6KO5O24,Drip coffee,Decaf - 16oz,,,Drinks,Drinks,,,,,visible,Prepared food and beverage,,,,,,,,5.25,,N,,,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N
D6QWMB4CN27WRVARCNETL7TC,Drip coffee,Refill 10oz,,,Drinks,Drinks,,,,,visible,Prepared food and beverage,,,,,,,,1.5,,N,,,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N
V2ADFG3J6BKAV7MTAQVN7HBE,Drip coffee,Refill 16oz,,,Drinks,Drinks,,,,,visible,Prepared food and beverage,,,,,,,,2.25,,N,,,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N
F2RBQ7KHB42B6FTPSI4AMXVB,Eggnog,10oz (Here),,,,,,,,,unavailable,Prepared food and beverage,,,,N,N,N,Y,6.5,,Y,,N,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
VVAHSMYZAOBBQ5VMGA2ESK4D,Eggnog,10oz (To Go),,,,,,,,,unavailable,Prepared food and beverage,,,,,,,,6.5,,Y,,,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
BWCMFXIPKKC6AZ2O7CRO72PH,Eggnog,16oz (To Go),,,,,,,,,unavailable,Prepared food and beverage,,,,,,,,7.45,,Y,,,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
XT4NYOUPSDIP5H6C4N3BAOHS,Eggnog,16oz (Here),,,,,,,,,unavailable,Prepared food and beverage,,,,,,,,7.45,,Y,,,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
6YEWCES3KOHZ5I7E7TODFUOX,Elderberry & Passionfruit Black Iced Tea (Elderberry & Passionfruit Black Tea),Regular,,,Non Coffee Drinks,Non Coffee Drinks,,,,,visible,Physical good,,,,N,N,N,Y,5.5,,N,,N,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N
OGBXWB4SNCQOHSCZPLB2FH3R,Elderberry Lemonade,Here,,,Seasonal (Spring/Summer),Seasonal (Spring/Summer),,,,,visible,Physical good,,,,N,N,N,Y,6,,N,,N,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
AOJN2T2MD32RTPUXWZGMHOCR,Elderberry Lemonade,To Go,,,Seasonal (Spring/Summer),Seasonal (Spring/Summer),,,,,visible,Physical good,,,,,,,,6,,N,,,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
UTO6RYYEKZLEDV7ZNKV2FPA4,Espresso,Regular,,,Drinks,Drinks,,,,,visible,Prepared food and beverage,,,,N,N,N,Y,3,,N,,N,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
PUHBLP2GUPFDQXOGOIHQJ624,Espresso,Extra Shot,,,Drinks,Drinks,,,,,visible,Prepared food and beverage,,,,,,,,1.75,,N,,,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
FEPI7BGGWWXDXCC2DOZ7V7ZN,Espresso,Brown Sugar Infused Espresso,,,Drinks,Drinks,,,,,visible,Prepared food and beverage,,,,,,,,4,,N,,,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
WZFDU65QMM7OY2DFQKKIXLYD,Espresso & Tonic (Orange),16oz,,,Signature Drinks,Signature Drinks,,,,,visible,Prepared food and beverage,,,,N,N,N,Y,6.5,,N,,N,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N
3ABOLY2HMUHGFRQXBUNH54PD,Espresso & Tonic (Orange),The Carámbula (Aaron & Kelly),,,Signature Drinks,Signature Drinks,,,,,visible,Prepared food and beverage,,,,,,,,4,,N,,,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N
YIX62KAFI5WQ5JHIGUXGUGSJ,Everything Bagel,Regular,,,Bakery,Bakery,,,,,visible,Prepared food and beverage,,,,N,N,N,Y,6,,N,,N,,N,,,Y,,,,,,Y,,,,,,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N
66RQ7HY4HXA5D26KSXQCFZF6,Flat White,Regular,,,Drinks,Drinks,,,,,visible,Prepared food and beverage,,,,N,N,N,Y,4.5,,N,,N,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,Y,N,N
5XWJZ6SFFTBKTJNIUYPFJCHK,"Fontanabianca, Nebbiolo",Glass,,,Wine,Wine,,,,,unavailable,Prepared food and beverage,,,,,,,Y,16,,N,,N,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
ARMMAQZDKSG63G6P3AET4XSJ,"Fontanabianca, Nebbiolo",Bottle,,,Wine,Wine,,,,,unavailable,Prepared food and beverage,,,,,,,,50,,N,,,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
DAY7PFFUCG7WRTVZXHVRLPE2,Fuzz Face - Beans,Regular,,,Retail,Retail,,,,,visible,Prepared food and beverage,,,,N,N,N,Y,20,,N,,N,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
FMOT3YSISQD5QTQV4BHTSL57,Gingerbread Latte,10oz Hot (Here),,,,,,,,,unavailable,Prepared food and beverage,,,,N,N,N,Y,6.75,,N,,N,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
EMF4KKMYGE2O4QX4MTGXLSRQ,Gingerbread Latte,10oz Hot (To Go),,,,,,,,,unavailable,Prepared food and beverage,,,,,,,,6.75,,N,,,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
IMECY3NKRI72TOI6DBD3HTXO,Gingerbread Latte,16oz Hot (To Go),,,,,,,,,unavailable,Prepared food and beverage,,,,,,,,7.25,,N,,,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
HZI7UA5A4VSEYUPZ3MESSDCU,Gingerbread Latte,16oz Iced (Here),,,,,,,,,unavailable,Prepared food and beverage,,,,,,,,7.25,,N,,,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
D5YXRKAICKAPI2PGMIHL77WW,Gingerbread Latte,16oz Iced (To Go),,,,,,,,,unavailable,Prepared food and beverage,,,,,,,,7.25,,N,,,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
FSVAXSXN4LYKHC5GHCPDKXUQ,Golden Honey,10oz (Here),,"(Vanilla, Honey & Turmeric)",Signature Drinks,Signature Drinks,,,,,visible,Physical good,,,,N,N,N,Y,6.75,,N,,N,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
N6MXEHKHZDGXA3OFS2BFC22E,Golden Honey,10oz (To go),,,Signature Drinks,Signature Drinks,,,,,visible,Physical good,,,,,,,,6.75,,N,,,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
SD72ALVQFL4EOBGXTMC6EQQD,Golden Honey,16oz (To go),,,Signature Drinks,Signature Drinks,,,,,visible,Physical good,,,,,,,,7.25,,N,,,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
Y2W23GEDOX3TWWMWHBGCEG7F,Golden Honey,16oz Iced (Here),,,Signature Drinks,Signature Drinks,,,,,visible,Physical good,,,,,,,,7.25,,N,,,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
HIPS6GUWSRCMOYB5BAV3FV6N,Golden Honey,16oz Iced (To go),,,Signature Drinks,Signature Drinks,,,,,visible,Physical good,,,,,,,,7.25,,N,,,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
WMLS5XEZWVVWCXIU4U36OTDA,Grain Belt Premium Lager,Regular,,,Beer,Beer,,,,,unavailable,Prepared food and beverage,,,,N,N,N,N,6,,N,,N,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
NIKLAKC3Y2PF4X5HOCPH2NFA,Gray Duck “Bomba Juice” Seltzer,Regular,,,Beer,Beer,,,,,unavailable,Prepared food and beverage,,,,,,N,N,6,,Y,,N,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
ZLPY4G434EZESZASWWC3S4NP,Honey & Lavender,10oz (Here),,(Honey and Lavender),Signature Drinks,Signature Drinks,,,,,visible,Prepared food and beverage,,,,N,N,N,Y,6.75,,N,,N,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
ZHYOWGKDIOTKOXGEPBBBCL4M,Honey & Lavender,10oz (To go),,,Signature Drinks,Signature Drinks,,,,,visible,Prepared food and beverage,,,,,,,,6.75,,N,,,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
